MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE?,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2014-2018 COUNCIL? (YES / NO),"IS THIS OFFICE SUBJECT TO A RECOUNT
(YES / NO)"
Nipissing Tp,SCOTT,JAMES,LOCAL COUNCILLOR,291,396,ELECTED,NO,NO
Nipissing Tp,SMITH,LIZ,LOCAL COUNCILLOR,321,396,ELECTED,YES,NO
Norfolk County,Chopp,Kristal,MAYOR,"10,838","20,091",ELECTED,NO,NO
Norfolk County,Masschaele,Tom,COUNTY COUNCILLOR,547,"2,153",ELECTED,NO,NO
Norfolk County,Geysens,Roger,COUNTY COUNCILLOR,720,"1,578",ELECTED,YES,NO
Norfolk County,Van Paassen,Chris,COUNTY COUNCILLOR,"1,089","2,074",ELECTED,NO,NO
Norfolk County,Rabbits,Ian,COUNTY COUNCILLOR,"3,007","9,085",ELECTED,NO,NO
Norfolk County,Taylor,Ryan J.,COUNTY COUNCILLOR,"1,616","9,085",ELECTED,NO,NO
Norfolk County,Columbus,Michael J.,COUNTY COUNCILLOR,"1,249","2,273",ELECTED,YES,NO
Norfolk County,Martin,Amy ,COUNTY COUNCILLOR,"2,242","4,396",ELECTED,NO,NO
Norfolk County,Huffman,Kim,COUNTY COUNCILLOR,"1,197","2,353",ELECTED,NO,NO
North Algona-Wilberforce Tp,BROSE,JAMES,MAYOR,668,"1,840",ELECTED,YES,YES
North Algona-Wilberforce Tp,BUCKWALD,DOUGLAS,LOCAL COUNCILLOR,685,,ELECTED,NO,NO
North Algona-Wilberforce Tp,Berndt,Melvin,LOCAL COUNCILLOR,575,,ELECTED,NO,YES
North Algona-Wilberforce Tp,REICHE-SCHOENFELDT,JANET,LOCAL COUNCILLOR,949,,ELECTED,NO,NO
North Algona-Wilberforce Tp,ROBINSON,MARIA,LOCAL COUNCILLOR,921,,ELECTED,NO,NO
North Bay C,McDonald,Al,MAYOR,"8,079","16,866",ELECTED,YES,NO
North Bay C,Vrebosch,Tanya,LOCAL COUNCILLOR,"7,297","16,866",ELECTED,YES,NO
North Bay C,Brousseau,Johanne,LOCAL COUNCILLOR,"7,025","16,866",ELECTED,No,NO
North Bay C,Anthony,Mike,LOCAL COUNCILLOR,"6,251","16,866",ELECTED,YES,NO
North Bay C,Mayne,Chris,LOCAL COUNCILLOR,"6,249","16,866",ELECTED,YES,NO
North Bay C,Vrebosch,Bill,LOCAL COUNCILLOR,"6,008","16,866",ELECTED,NO,NO
North Bay C,King,Mark,LOCAL COUNCILLOR,"5,888","16,866",ELECTED,YES,NO
North Bay C,Robertson,Scott,LOCAL COUNCILLOR,"5,212","16,866",ELECTED,NO,NO
North Bay C,Bain,Mac,LOCAL COUNCILLOR,"4,986","16,866",ELECTED,YES,NO
North Bay C,Mendicino,Dave,LOCAL COUNCILLOR,"4,801","16,866",ELECTED,NO,NO
North Bay C,Tignanelli,Marcus,LOCAL COUNCILLOR,"4,630","16,866",ELECTED,NO,NO
North Dumfries Tp,Foxton,Sue,MAYOR,"2,305","2,908",ELECTED,YES,NO
North Dumfries Tp,Rolleman,Rodney,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Dumfries Tp,Ostner,Derrick,LOCAL COUNCILLOR,565,699,ELECTED,YES,NO
North Dumfries Tp,McCreery,Margaret,LOCAL COUNCILLOR,563,702,ELECTED,NO,NO
North Dumfries Tp,Gillespie,Pamela,LOCAL COUNCILLOR,322,617,ELECTED,NO,NO
North Dundas Tp,FRASER,TONY,MAYOR,"2,436","4,074",ELECTED,YES,NO
North Dundas Tp,ARMSTRONG,ALLAN,DEPUTY MAYOR,"3,078","4,056",ELECTED,YES,NO
North Dundas Tp,ANNABLE,GARY,LOCAL COUNCILLOR,"3,346","10,799",ELECTED,NO,NO
North Dundas Tp,HOY,TYLER,LOCAL COUNCILLOR,"1,522","10,799",ELECTED,NO,NO
North Dundas Tp,THOMPSON,JOHN,LOCAL COUNCILLOR,"2,696","10,799",ELECTED,YES,NO
North Frontenac Tp,HIGGINS,RON,MAYOR, -   , -   ,ACCLAIMED,YES,NO
North Frontenac Tp,GOOD,WAYNE,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Frontenac Tp,PERRY,FRED,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Frontenac Tp,HERMER,VERNON,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Frontenac Tp,MARTIN,GERRY,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Frontenac Tp,FOWLER,FRED,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
North Frontenac Tp,INGLIS,JOHN,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Glengarry Tp,MacDonald,Jamie,MAYOR, -   , -   ,ACCLAIMED,YES,NO
North Glengarry Tp,Williams,Carma,DEPUTY MAYOR,"1,599","3,498",ELECTED,YES,NO
North Glengarry Tp,Massie,Jacques,LOCAL COUNCILLOR,"1,434","3,495",ELECTED,YES,NO
North Glengarry Tp,Noble,Brenda,LOCAL COUNCILLOR,357,968,ELECTED,NO,NO
North Glengarry Tp,Manley,Jeff,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Glengarry Tp,Depratto,Mike,LOCAL COUNCILLOR,911,"1,121",ELECTED,YES,NO
North Glengarry Tp,Wensink,Johanne,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
North Grenville M,PECKFORD,NANCY,MAYOR,"2,844","5,930",ELECTED,NO,NO
North Grenville M,MCMANAMAN,JIM,LOCAL COUNCILLOR,"3,160","20,610",ELECTED,NO,NO
North Grenville M,MCCORMICK,CRAIG,LOCAL COUNCILLOR,"2,795","20,610",ELECTED,NO,NO
North Grenville M,BARCLAY,JOHN,LOCAL COUNCILLOR,"2,734","20,610",ELECTED,NO,NO
North Grenville M,O'SULLIVAN,DOREEN,LOCAL COUNCILLOR,"2,591","20,610",ELECTED,NO,NO
North Huron Tp,BAILEY,BERNIE,REEVE,"1,337","1,925",ELECTED,NO,NO
North Huron Tp,FALCONER,KEVIN,LOCAL COUNCILLOR,338,778,ELECTED,NO,NO
North Huron Tp,MCBURNEY,RIC,LOCAL COUNCILLOR,255,778,ELECTED,NO,NO
North Huron Tp,VAN HITTERSUM,ANITA,LOCAL COUNCILLOR,254,860,ELECTED,NO,NO
North Huron Tp,PALMER,CHRIS,LOCAL COUNCILLOR,234,860,ELECTED,NO,NO
North Huron Tp,HEFFER,PAUL,LOCAL COUNCILLOR,934,"2,070",ELECTED,NO,NO
North Huron Tp,SEIP,TREVOR,LOCAL COUNCILLOR,628,"2,070",ELECTED,YES,NO
North Kawartha Tp,AMYOTTE,CAROLYN,MAYOR,"1,650","3,032",ELECTED,YES,NO
North Kawartha Tp,WHELAN,JIM,DEPUTY MAYOR,"1,803","2,965",ELECTED,NO,NO
North Kawartha Tp,MISZUK,ROMAN,LOCAL COUNCILLOR,"1,492","2,862",ELECTED,YES,NO
North Kawartha Tp,MCLELLAN,COLIN,LOCAL COUNCILLOR,802,"1,453",ELECTED,NO,NO
North Kawartha Tp,O'SHEA,JIM,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Middlesex M,Ropp,Brian,MAYOR,"1,747","1,747",ELECTED,YES,NO
North Middlesex M,Cornelissen,Adrian,DEPUTY MAYOR,834,834,ELECTED,YES,NO
North Middlesex M,McLinchey,Doreen,LOCAL COUNCILLOR,224,224,ELECTED,YES,NO
North Middlesex M,Nichol,Joan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Middlesex M,Moir,Gord,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Middlesex M,Keogh,John,LOCAL COUNCILLOR,294,294,ELECTED,NO,NO
North Middlesex M,Hemming,Andrew,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
North Perth M,Kasenberg,Todd,MAYOR,"1,874","2,012",ELECTED,NO,NO
North Perth M,Kellum,Doug,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
North Perth M,Anstett,Neil,LOCAL COUNCILLOR,"1,325","4,642",ELECTED,NO,NO
North Perth M,Richardson,Matt,LOCAL COUNCILLOR,"1,345","4,642",ELECTED,YES,NO
North Perth M,Seiler,Terry,LOCAL COUNCILLOR,"1,244","4,642",ELECTED,YES,NO
North Perth M,Andriessen,Lee Anne,LOCAL COUNCILLOR,305,882,ELECTED,NO,NO
North Perth M,Behrns,Julie,LOCAL COUNCILLOR,316,882,ELECTED,YES,NO
North Perth M,Duncan,Matt,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
North Perth M,Johnston,Dave,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
North Perth M,Rothwell,Allan,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
North Stormont Tp,Wert,Jim,Mayor, -   , -   ,ACCLAIMED,YES,NO
North Stormont Tp,Landry,Francois,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES,NO
North Stormont Tp,Densham,Steve,LOCAL COUNCILLOR,889,"5,164",ELECTED,NO,NO
North Stormont Tp,Douglas,Randy,LOCAL COUNCILLOR,858,"5,164",ELECTED,YES,NO
North Stormont Tp,Villeneuve,Roxane,LOCAL COUNCILLOR,"1,352","5,164",ELECTED,NO,NO
Northeastern Manitoulin & The Isl T,MacNevin,Al,Mayor,"1,033","1,424",ELECTED,YES,NO
Northeastern Manitoulin & The Isl T,Cook,Laurie,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Northeastern Manitoulin & The Isl T,Baker,Barb,LOCAL COUNCILLOR,327,"1,399",ELECTED,NO,NO
Northeastern Manitoulin & The Isl T,Boyd,Al,LOCAL COUNCILLOR,412,"1,399",ELECTED,NO,NO
Northeastern Manitoulin & The Isl T,Erskine,Michael,LOCAL COUNCILLOR,341,"1,399",ELECTED,YES,NO
Northeastern Manitoulin & The Isl T,Koehler,Bill,LOCAL COUNCILLOR,107,197,ELECTED,YES,NO
Northeastern Manitoulin & The Isl T,Ferguson,Jim,LOCAL COUNCILLOR,391,"1,418",ELECTED,NO,NO
Northeastern Manitoulin & The Isl T,Orr,Dawn,LOCAL COUNCILLOR,362,"1,418",ELECTED,YES,NO
Northeastern Manitoulin & The Isl T,Wood,Bruce,LOCAL COUNCILLOR,337,"1,418",ELECTED,YES,NO
Northern Bruce Peninsula M,MCIVER,MILT,MAYOR,"2,727","3,908",ELECTED,YES,NO
Northern Bruce Peninsula M,MYLES,DEBBIE,DEPUTY MAYOR,"2,122","3,852",ELECTED,NO,NO
Northern Bruce Peninsula M,GOLDEN,LAURIE,LOCAL COUNCILLOR,"2,027","10,729",ELECTED,NO,NO
Northern Bruce Peninsula M,MYLES,MEGAN,LOCAL COUNCILLOR,"1,719","10,729",ELECTED,NO,NO
Northern Bruce Peninsula M,MIELHAUSEN,JAMES,LOCAL COUNCILLOR,"1,718","10,729",ELECTED,NO,NO
Northumberland Co,MARTIN,MANDY,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Northumberland Co,Cane,Bill,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Northumberland Co,Crate,Robert,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Northumberland Co,HENDERSON,JOHN,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Northumberland Co,Ostrander,Brian,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Northumberland Co,Logel,John,WARDEN,,,,NO,NO
Northumberland Co,Sanderson,Bob,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Norwich Tp,Martin,Larry,MAYOR,"2,374","2,901",ELECTED,YES,NO
Norwich Tp,Scholten,John,LOCAL COUNCILLOR,632,761,ELECTED,YES,NO
Norwich Tp,DePlancke,Lynne,LOCAL COUNCILLOR,481,899,ELECTED,YES,NO
Norwich Tp,Palmer,Jim,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Norwich Tp,Dale,Alan,LOCAL COUNCILLOR,217,503,ELECTED,NO,NO
Oakville T,Burton,Rob,MAYOR,"22,918","46,165",ELECTED,YES,NO
Oakville T,O'Meara,Sean,LOCAL AND REGIONAL COUNCILLOR,"5,925","7,215",ELECTED,YES,NO
Oakville T,Robertson,Beth,LOCAL COUNCILLOR,"2,795","7,032",ELECTED,YES,NO
Oakville T,Duddeck,Cathy,LOCAL AND REGIONAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Oakville T,Chisholm,Ray,LOCAL COUNCILLOR,"3,604","6,727",ELECTED,YES,NO
Oakville T,Gittings,Dave,LOCAL AND REGIONAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Oakville T,Haslett-Theall,Janet,LOCAL COUNCILLOR,"3,040","6,884",ELECTED,NO,NO
Oakville T,Elgar,Alan,LOCAL AND REGIONAL COUNCILLOR,"6,121","8,355",ELECTED,YES,NO
Oakville T,Longo,Peter,LOCAL COUNCILLOR,"4,773","8,610",ELECTED,NO,NO
Oakville T,Knoll,Jeff,LOCAL AND REGIONAL COUNCILLOR,"4,866","7,839",ELECTED,YES,NO
Oakville T,Grant,Marc,LOCAL COUNCILLOR,"4,216","7,351",ELECTED,YES,NO
Oakville T,Lishchyna,Natalia,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Oakville T,Adams,Tom,LOCAL AND REGIONAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Oakville T,Sandhu,Jasvinder,LOCAL COUNCILLOR,551,"1,958",ELECTED,NO,NO
Oakville T,Parmar,Pavan,LOCAL AND REGIONAL COUNCILLOR,570,"2,042",ELECTED,NO,NO
O'Connor Tp,Vezina,Jim,Mayor, -   , -   ,ACCLAIMED,YES,NO
O'Connor Tp,Crane,Alexander,LOCAL COUNCILLOR,109,509,ELECTED,NO,NO
O'Connor Tp,Handy,Wendy,LOCAL COUNCILLOR,121,509,ELECTED,YES,NO
O'Connor Tp,Loan,B. Jerry,LOCAL COUNCILLOR,99,509,ELECTED,YES,NO
O'Connor Tp,Racicot,Bishop,LOCAL COUNCILLOR,114,509,ELECTED,YES,NO
Oil Springs V,McFadden,Connie,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Oil Springs V,Strangway,Matt,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Oil Springs V,Veen,Adam,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,NO,NO
Oil Springs V,Veen,Ian,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Oil Springs V,Wagner,Larry,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES,NO
Oliver Paipoonge M,Kloosterhuis,Lucy,MAYOR, -   , -   ,ACCLAIMED,YES,NO
Oliver Paipoonge M,Bishop,Alana,LOCAL COUNCILLOR,906,"5,310",ELECTED,YES,NO
Oliver Paipoonge M,Kamphof,Bernie,LOCAL COUNCILLOR,982,"5,310",ELECTED,YES,NO
Oliver Paipoonge M,Postuma,Brandon,LOCAL COUNCILLOR,913,"5,310",ELECTED,NO,NO
Oliver Paipoonge M,Vis,Allan,LOCAL COUNCILLOR,794,"5,310",ELECTED,YES,NO
Opasatika Tp,Dorval,Denis,MAYOR,83,139,ELECTED,NO,NO
Opasatika Tp,Jean,Hélène,LOCAL COUNCILLOR,75,139,ELECTED,NO,NO
Opasatika Tp,Marin,Reynald,LOCAL COUNCILLOR,69,139,ELECTED,NO,NO
Opasatika Tp,Pineault,Alain,LOCAL COUNCILLOR,57,139,ELECTED,YES,NO
Opasatika Tp,Turgeon,Maxime,LOCAL COUNCILLOR,58,139,ELECTED,NO,NO
Orangeville T,Brown,Sandy,MAYOR,"3,413","7,804",ELECTED,NO,NO
Orangeville T,Macintosh,Andy,DEPUTY MAYOR,"5,685","7,699",ELECTED,NO,NO
Orangeville T,Peters,Grant,LOCAL COUNCILLOR,"4,204","33,404",ELECTED,NO,NO
Orangeville T,Taylor,Todd,LOCAL COUNCILLOR,"4,913","33,404",ELECTED,NO,NO
Orangeville T,Post ,Lisa,LOCAL COUNCILLOR,"3,528","33,404",ELECTED,NO,NO
Orangeville T,Sherwood,Debbie,LOCAL COUNCILLOR,"3,742","33,404",ELECTED,NO,NO
Orangeville T,Andrews,Joe,LOCAL COUNCILLOR,"3,588","33,404",ELECTED,NO,NO
Orillia C,CLARKE,STEVE,MAYOR,"5,710","8,525",ELECTED,YES,NO
Orillia C,CAMPBELL,DAVID,LOCAL COUNCILLOR,"1,610","3,661",ELECTED,NO,NO
Orillia C,EMOND,TED,LOCAL COUNCILLOR,"1,143","3,661",ELECTED,YES,NO
Orillia C,KLOOSTRA,ROB,LOCAL COUNCILLOR,"1,263","3,834",ELECTED,YES,NO
Orillia C,CIPOLLA,RALPH,LOCAL COUNCILLOR,"1,223","3,834",ELECTED,YES,NO
Orillia C,AINSWORTH,MASON,LOCAL COUNCILLOR,"1,235","3,677",ELECTED,YES,NO
Orillia C,FALLIS,JAY,LOCAL COUNCILLOR,984,"3,677",ELECTED,NO,NO
Orillia C,LAUER,TIM,LOCAL COUNCILLOR,"1,490","4,348",ELECTED,YES,NO
Orillia C,HEHN,PAT,LOCAL COUNCILLOR,950,"4,348",ELECTED,YES,NO
Oro-Medonte Tp,Hughes,Harry,MAYOR,"3,011","7,714",ELECTED,YES,NO
Oro-Medonte Tp,Jeremy,Scott,DEPUTY MAYOR,"5,041","7,550",ELECTED,YES,NO
Oro-Medonte Tp,Veitch,Ian,LOCAL COUNCILLOR,"1,166","2,057",ELECTED,NO,NO
Oro-Medonte Tp,Macpherson,Scott,LOCAL COUNCILLOR,727,"1,273",ELECTED,YES,NO
Oro-Medonte Tp,Keane,Cathy,LOCAL COUNCILLOR,742,"1,445",ELECTED,NO,NO
Oro-Medonte Tp,Scott,Shawn,LOCAL COUNCILLOR,865,"1,613",ELECTED,NO,NO
Oro-Medonte Tp,Greenlaw,Randy,LOCAL COUNCILLOR,671,"1,257",ELECTED,NO,NO
Oshawa C,CARTER,DAN,MAYOR,"17,651","25,406",ELECTED,YES,NO
Oshawa C,NEAL,JOHN,LOCAL AND REGIONAL COUNCILLOR,"1,410","2,779",ELECTED,YES,NO
Oshawa C,MARIMPIETRI,TITO-DANTE,LOCAL AND REGIONAL COUNCILLOR,"2,140","4,886",ELECTED,NO,NO
Oshawa C,CHAPMAN,BOB,LOCAL AND REGIONAL COUNCILLOR,"3,089","6,987",ELECTED,YES,NO
Oshawa C,KERR,RICK,LOCAL AND REGIONAL COUNCILLOR,"3,183","6,283",ELECTED,YES,NO
Oshawa C,NICHOLSON,BRIAN,LOCAL AND REGIONAL COUNCILLOR,"1,676","4,215",ELECTED,NO,NO
Oshawa C,MCCONKEY,ROSEMARY,LOCAL COUNCILLOR,"1,154","2,639",ELECTED,NO,NO
Oshawa C,HURST,JANE,LOCAL COUNCILLOR,"1,760","4,630",ELECTED,NO,NO
Oshawa C,MARKS,BRADLEY J.,LOCAL COUNCILLOR,"3,057","6,673",ELECTED,NO,NO
Oshawa C,GIBERSON,DEREK,LOCAL COUNCILLOR,"1,466","6,360",ELECTED,NO,NO
Oshawa C,GRAY,JOHN,LOCAL COUNCILLOR,"2,413","4,172",ELECTED,NO,NO
Otonabee-South Monaghan Tp,Taylor,Joe,REEVE, -   , -   ,ACCLAIMED,YES,NO
Otonabee-South Monaghan Tp,Clark,Bonnie ,DEPUTY REEVE,"1,353","2,384",ELECTED,YES,NO
Otonabee-South Monaghan Tp,Allen,Mark,LOCAL COUNCILLOR,"1,674","2,219",ELECTED,NO,NO
Otonabee-South Monaghan Tp,Powers,Nick,LOCAL COUNCILLOR,"1,324","1,764",ELECTED,NO,NO
Otonabee-South Monaghan Tp,Howie,Ken,LOCAL COUNCILLOR,251,571,ELECTED,NO,NO
Ottawa C,Watson,Jim,MAYOR,"188,960","269,772",ELECTED,YES,NO
Ottawa C,Lullof,Matthiew,LOCAL COUNCILLOR,"3,622","15,368",ELECTED,NO,NO
Ottawa C,Dudas,Laura,LOCAL COUNCILLOR,"5,325","12,970",ELECTED,NO,NO
Ottawa C,Harder,Jan,LOCAL COUNCILLOR,"11,489","15,542",ELECTED,YES,NO
Ottawa C,Sudds,Jenna,LOCAL COUNCILLOR,"5,298","11,410",ELECTED,NO,NO
Ottawa C,El-Chantiry,Eli,LOCAL COUNCILLOR,"5,099","7,756",ELECTED,YES,NO
Ottawa C,Gower,Glen,LOCAL COUNCILLOR,"5,877","10,172",ELECTED,NO,NO
Ottawa C,Kavanagh,Theresa,LOCAL COUNCILLOR,"6,509","12,059",ELECTED,NO,NO
Ottawa C,Chiarelli,Rick,LOCAL COUNCILLOR,"7,079","15,238",ELECTED,YES,NO
Ottawa C,Egli,Keith,LOCAL COUNCILLOR,"6,369","10,240",ELECTED,YES,NO
Ottawa C,Deans,Diane,LOCAL COUNCILLOR,"6,179","11,119",ELECTED,YES,NO
Ottawa C,Tierney,Tim,LOCAL COUNCILLOR,"6,730","8,443",ELECTED,YES,NO
Ottawa C,Fleury,Mathieu,LOCAL COUNCILLOR,"7,302","10,875",ELECTED,YES,NO
Ottawa C,Nussbaum,Tobi,LOCAL COUNCILLOR,"7,334","9,458",ELECTED,YES,NO
Ottawa C,McKenney,Catherine,LOCAL COUNCILLOR,"7,754","10,290",ELECTED,YES,NO
Ottawa C,Leiper,Jeff,LOCAL COUNCILLOR,"12,068","14,409",ELECTED,YES,NO
Ottawa C,Brockington,Riley,LOCAL COUNCILLOR,"6,122","11,472",ELECTED,YES,NO
Ottawa C,Menard,Shawn,LOCAL COUNCILLOR,"3,575","12,834",ELECTED,NO,NO
Ottawa C,Cloutier,Jean,LOCAL COUNCILLOR,"3,866","11,953",ELECTED,YES,NO
Ottawa C,Blais,Stephen,LOCAL COUNCILLOR,"11,230","12,736",ELECTED,YES,NO
Ottawa C,Darouze,George,LOCAL COUNCILLOR,"4,653","8,518",ELECTED,YES,NO
Ottawa C,Moffatt,Scott,LOCAL COUNCILLOR,"5,080","9,153",ELECTED,YES,NO
Ottawa C,Meehan,Carol Anne,LOCAL COUNCILLOR,"5,960","14,090",ELECTED,NO,NO
Ottawa C,Hubley,Allan,LOCAL COUNCILLOR,"6,183","13,667",ELECTED,YES,NO
Owen Sound C,BODDY,IAN,MAYOR,"5,943","6,574",ELECTED,YES,NO
Owen Sound C,O'LEARY,BRIAN,DEPUTY MAYOR,"3,691","6,106",ELECTED,YES,NO
Owen Sound C,DODD,TRAVIS,LOCAL COUNCILLOR,"4,082","39,167",ELECTED,YES,NO
Owen Sound C,THOMAS,RICHARD,LOCAL COUNCILLOR,"4,074","39,167",ELECTED,YES,NO
Owen Sound C,GREIG,SCOTT,LOCAL COUNCILLOR,"3,635","39,167",ELECTED,YES,NO
Owen Sound C,TAMMING,JOHN,LOCAL COUNCILLOR,"3,579","39,167",ELECTED,NO,NO
Owen Sound C,KOEPKE,MARION,LOCAL COUNCILLOR,"3,127","39,167",ELECTED,YES,NO
Owen Sound C,MERTON,CAROL,LOCAL COUNCILLOR,"2,813","39,167",ELECTED,NO,NO
Owen Sound C,HAMLEY,BROCK,LOCAL COUNCILLOR,"2,807","39,167",ELECTED,NO,NO
Oxford Co,Birtch,Trevor,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Oxford Co,Tait,Deborah,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Oxford Co,Talbot,Sandra J.,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Oxford Co,Comiskey,Ted,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Oxford Co,Molnar,Stephen,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Oxford Co,Peterson,Mark,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Oxford Co,McKay,Don,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Oxford Co,Martin,Larry,WARDEN,,,,YES,NO
Oxford Co,Mayberry,David,LOCAL AND COUNTY COUNCILLOR,,,,YES,NO
Oxford Co,Ryan,Marcus,LOCAL AND COUNTY COUNCILLOR,,,,NO,NO
Papineau-Cameron Tp,CORRIVEAU,Robert,MAYOR,305,491,ELECTED,YES,NO
Papineau-Cameron Tp,BANGS,Terry,LOCAL COUNCILLOR,363,491,ELECTED,NO,NO
Papineau-Cameron Tp,BELANGER,Shelley,LOCAL COUNCILLOR,319,491,ELECTED,YES,NO
Papineau-Cameron Tp,ADAMS,Wendy,LOCAL COUNCILLOR,319,491,ELECTED,YES,NO
Papineau-Cameron Tp,NEAULT,Alvina,LOCAL COUNCILLOR,289,491,ELECTED,YES,NO
Parry Sound T,McGarvey,Jamie,Mayor,"1,788","2,509",ELECTED,YES,NO
Parry Sound T,Backman,Vanessa,LOCAL COUNCILLOR,"1,035","2,247",ELECTED,NO,NO
Parry Sound T,Borneman,Paul,LOCAL COUNCILLOR,"1,453","2,247",ELECTED,YES,NO
Parry Sound T,Burden,Roger,LOCAL COUNCILLOR,"1,095","2,247",ELECTED,NO,NO
Parry Sound T,Horne,Brad,LOCAL COUNCILLOR,"1,022","2,247",ELECTED,YES,NO
Parry Sound T,Keith,Bonnie,LOCAL COUNCILLOR,"1,516","2,247",ELECTED,YES,NO
Parry Sound T,McCann,Doug,LOCAL COUNCILLOR,"1,070","2,247",ELECTED,YES,NO
Peel R,Crombie,Bonnie,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Dasko ,Stephen,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Ras,Karen,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Fonseca,Chris,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Kovak ,John,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Parrish,Carolyn,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Starr,Ron,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Damerla,Dipika,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Mahoney,Matt,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Saito,Pat,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,McFadden,Sue,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Carlson,George,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Vincente,Paul,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Palleschi,Michael,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Medeiors,Martin,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Fortini,Pat,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Dhillon,Gurpreet,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Brown,Patrick,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Thompson,Allan,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Sinclair,Ian,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Downey,Johanna,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Innis,Jennifer,LOCAL AND REGIONAL COUNCILLOR,,,,YES,NO
Peel R,Groves,Annette,LOCAL AND REGIONAL COUNCILLOR,,,,NO,NO
Peel R,Iannicca,Nando,REGIONAL CHAIR,,,,NO,NO
